style_number,pattern,style_type,color,style_name,accessory1,wash_care,mrp
24020,108(D),Dress,Royal Blue,Royal Blue & Green colorblock silk Kimono oversize dress,Fusing,Dry Clean Only,3795
24019,107-D,Dress,Black,Black silk A-line party dress,Lace,Dry Clean Only,5195
24018,107-D,Dress,Orange,Orange silk A-line party dress,,Dry Clean Only,4995
24017,10142,Shrug,Navy,Navy brocade french crepe Festive shrug.,Fusing,Dry Clean Only,3795
24016,692,Kaftan,Lime Green,Lime green silk kaftan,,Dry Clean Only,6395
24015,603,Dress,Burgundy,Burgundy Silk with Brocade yoke Party Dress,Zips,Machine Wash,6695
24014,733,Dress,Navy,Navy georgette & brocade embelished party dress,Fusing,Dry Clean Only,4795
24013,10139,Dress,Yellow,Yellow silk embelished festive party dress,Lace,Dry Clean Only,6995
24012,692,Kaftan,Yellow,Yellow silk V-neck long kaftan with contrast red border,,Dry Clean Only,4795
24011,692,Kaftan,Teal,Teal silk V-neck long kaftan with contrast green border,,Dry Clean Only,4795
24010,741,Trouser,Green,Green Silk Trousers with Elastic waistband,Lace,Machine Wash,4095
24009,518,Shirt,Green,Green crepe silk embelished festive shirt,Fusing,Dry Clean Only,4295
24008,741,Trouser,Red,Red Silk Trousers with Elastic waistband,Elastic,Machine Wash,4095
24007,518,Shirt,Red,Red crepe silk embelished festive shirt,Fusing,Dry Clean Only,4295
24006,692,Kaftan,Black,Black Silk V-Neck brocade kaftan,Fusing,Dry Clean Only,7395
24005,102-D,Shrug,Red,Red Crepe Silk Brocade Collar Shrug,Fusing,Dry Clean Only,6795
24004,105-D,Kaftan,Navy,Navy french crepe silk kaftan with Brocade Yoke,Fusing,Dry Clean Only,5395
24003,101-D,Kaftan,Red,Red Crepe Silk kaftan with Brocade Yoke,Fusing,Dry Clean Only,6395
24002,101-D,Kaftan,Red,Red Crepe Silk kaftan with Brocade Yoke,Fusing,Dry Clean Only,7995
24001,105-D,Kaftan,Red,Red crepe silk v-neck kaftan with Brocade yoke,Fusing,Dry Clean Only,7995
24000,103-D,Kaftan,Royal Blue,Royal blue silk kaftan with brocade yoke,Fusing,Dry Clean Only,7095
18069,519,Dress,Rust,Rust floral print dress with a faux wrap-around dress.,Zips,Machine Wash,3395
18068,721,Shirt,Beige,Beige and pink floral print half-placket mandarin collar shirt,Fusing,Machine Wash,3895
18067,692,Dress,Green,Green animal print kaftan dress with tassels,Tassale,Machine Wash,2495
18066,735,Dress,White,white & wine big polka dot moss crepe V-neck dress.,,Machine Wash,2195
18065,692,Dress,Blue,Blue and white tie dye Kaftan dress,,Machine Wash,2295
18064,721,Shirt,Blue,Blue and white tie-dye half-placket mandarin collar shirt,Fusing,Machine Wash,2495
18063,692,Dress,Green,Green tropical print kaftan dress with tassels,Lace,Machine Wash,2595
18062,692,Dress,Multi,Vibrant Muti print kaftan dress with tassels .,Tassale,Machine Wash,2595
18061,721,Shirt,Navy,Blue and white Marbel half-placket mandarin collar shirt,Fusing,Machine Wash,2495
18059,751,Dress,Navy,Navy polka georgette A-line dress with V-neck and bell sleeves,,Machine Wash,3195
18058,628,Skirt,Pista Green,Pista Green floral A-line long skirt,Zips,Machine Wash,2495
18057,542,Dress,Green,Green check rayon full placket button shirt dress Party shirt,Buttons,Machine Wash,4095
,,,,,,,
18055,519,Dress,Wine,Wine Silk sequins yoke Party Dress,Zips,Dry Clean Only,4095
18052,755,Shirt,Green,Forest Green Zebra print full placket Resort shirt,Fusing,Machine Wash,2495
18051,755,Shirt,Wine,Wine Zebra print full placket Resort shirt,Fusing,Machine Wash,2495
18050,755,Shirt,Orange,Orange Zebra print full placket Resort shirt,Fusing,Machine Wash,2495
18049,755,Shirt,Lime Green,Lime Green Tropical print full placket Resort shirt,Fusing,Machine Wash,2495
18048,755,Shirt,Black,Multi Tropical print full placket Resort shirt,Fusing,Machine Wash,2495
18047,750,Dress,Sky Blue,Stylish Sky blue midi dress.,Metal Rings,Dry Clean Only,3195
18046,750,Dress,Neon Green,Stylish Neon green midi dress.,Metal Rings,Dry Clean Only,3195
18045,750,Dress,Magenta,Stylish Magenta midi dress.,Metal Rings,Dry Clean Only,3195
18044,750,Dress,Teal,Stylish Teal midi dress.,Metal Rings,Dry Clean Only,3595
18043,750,Dress,Red,Stylish Red midi dress.,Metal Rings,Dry Clean Only,3995
18042,750,Dress,Green,Stylish Bottle green midi dress.,Metal Rings,Dry Clean Only,3995
18041,750,Dress,Lavender,Stylish Lavender midi dress.,Metal Rings,Dry Clean Only,3195
18040,750,Dress,Mint Green,Stylish Sea green midi dress.,Metal Rings,Dry Clean Only,3195
18039,750,Dress,Black,Stylish Black midi dress.,Metal Rings,Dry Clean Only,3195
18038,721,Shirt,Green,"Green shirt with tropical print, featuring a half placket, mandarin collar, and regular sleeve",Buttons,Machine Wash,3195
18037,614,Dress,Green,Green Leaf print Mandarin collar V neck tunic dress,,Machine Wash,3395
18036,731,Top,Pink,Pink & black polka tie top,,Machine Wash,2395
18035,530,Dress,Magenta,Magenta solid jersey off-shoulder calf-length dress,Elastic,Hand Wash,4195
18034,741,Pant,Orange,Solid cotton trousers with a full elastic waistband.,Elastic,Machine Wash,2595
18033,695,Top,Orange,Solid cotton V-neck top with regular sleeves.,,Machine Wash,2595
18032,741,Pant,Fucia,Solid cotton trousers with a full elastic waistband.,Elastic,Machine Wash,2595
18031,695,Top,Fucia,Solid cotton V-neck top with regular sleeves.,,Machine Wash,2595
18030,741,Pant,Magenta,Solid cotton trousers with a full elastic waistband.,Elastic,Machine Wash,2595
18029,695,Top,Magenta,Solid cotton slub V-neck top with regular sleeves.,,Machine Wash,2595
18028,748,Dress,Maroon,Maroon and Black V-neck ankle-length color-block party dress,Buttons,Dry Clean Only,3495
18027,735,Dress,Gray,Marble print A-line V-neck dress,,Machine Wash,3295
18026,750,Dress,Off White,Stylish Off White & black houndstooth midi dress.,Metal Rings,Dry Clean Only,3595
18025,698,Shirt,Multi,Multi georgette kaftan top with lace,Lace,Hand Wash,2995
18024,751,Dress,Rust,Rust floral print georgette V-neck A-line calf-length dress,,Machine Wash,3095
18023,735,Dress,Blue,Powder Blue Polka georgette A-Line V-Neck dress.,,Machine Wash,2995
18022,735,Dress,Multi,Peach candy stripe georgette A-Line V-Neck calf length dress.,,Machine Wash,3195
18021,10142,Shrug,Lime Yellow,Lime Green Tropical print shrug with full sleeves and side slits,,Machine Wash,2595
18020,518,Shirt,Olive,Olive floral satin half-placket shirt,Buttons,Hand Wash,3895
18019,735,Dress,Multi,Ombre-colored A-line V-neck summer dress,,Machine Wash,3395
18018,732,Dress,Magenta,Oversized Cotton slub front open loop button dress,Buttons,Machine Wash,3295
18017,732,Dress,Pink,Oversized Cotton slub front open loop button dress,Buttons,Machine Wash,3295
18016,732,Dress,Salmon Orange,Oversized Cotton slub front open loop button dress,Buttons,Machine Wash,3295
18015,732,Dress,Green,Cotton slub front open loop button oversize dress,Buttons,Machine Wash,3295
18014,741,Pant,Purple,Purple lycra full waist band,Elastic,Machine Wash,3995
18013,10142,Shrug,Purple,purple lycra shrug.,,Hand Wash,4395
18012,741,Pant,Peach,Peach floral trouser,Elastic,Machine Wash,2795
18011,518,Shirt,Peach,Peach floral half placket shirt,Fusing,Machine Wash,3095
18010,741,Pant,Red,Red solid rib trouser.,Lace,Machine Wash,3995
18009,746,Top,Red,Red solid rib v-neck top,Lace,Machine Wash,4795
18008,741,Pant,Beige,Beige solid rib trouser.,Lace,Machine Wash,3995
18007,746,Top,Beige,Beige solid rib v-neck top,Lace,Machine Wash,4795
18006,695,Shirt,Multi,Multi colour georgette top,Fusing,Machine Wash,2695
18005,741,Pant,Neon Yellow,Neon yellow solid crepe trouser.,Elastic,Machine Wash,2795
18004,623,Top,Neon Yellow,Neon yellow V-Neck short kaftan,,Machine Wash,2395
18003,741,Pant,Black,Black and white stripe crepe trouser,Elastic,Machine Wash,2795
18002,518,Shirt,Black,Black and white stripe crepe half placket shirt,Fusing,Machine Wash,3095
18001,741,Pant,Magenta,Magenta and white stripe trouser,Elastic,Machine Wash,2795
18000,518,Shirt,Magenta,Magenta and white stripe shirt,Fusing,Machine Wash,3095
17099,741,Pant,Wine,Wine and white stripe crepe trouser,Elastic,Machine Wash,2795
17098,518,Shirt,Wine,Wine and white stripe crepe shirt,Fusing,Machine Wash,3095
17097,741,Pant,Maroon,Maroon and white stripe trouser,Elastic,Machine Wash,2795
17096,518,Shirt,Maroon,Maroon and white stripe shirt,Fusing,Machine Wash,3095
17095,741,Pant,Teal,Teal solid velvet waistband trouser,Elastic,Machine Wash,4195
17094,743,Cover Up,Teal,Teal solid velvet fabric hoodie,Chain,Machine Wash,5295
17093,741,Pant,Navy,Navy velvet trouser,Elastic,Machine Wash,4195
17092,743,Cover Up,Navy,Navy solid velvet fabric hoodie,Chain,Machine Wash,5295
17091,741,Pant,Navy,Navy and white stripe pants,Elastic,Machine Wash,2895
17090,518,Shirt,Navy,Navy and white stripe shirt,Fusing,Machine Wash,3095
17089,741,Pant,Maroon,Maroon Velvet pants,Elastic,Machine Wash,3095
17088,743,Hoodie,Maroon,Maroon solid velvet fabric hoodie,Chain,Machine Wash,3695
17087,689,Coat,Bottle green,Bottle green fleece long jacket,Fusing,Dry Clean Only,3695
17086,562,Top,Bronze,Bronze Silk Embellished V-neck top,Lace,Dry Clean Only,3995
17085,732,Dress,Black,Solid Black cotton slub Resort Oversize dress,Buttons,Hand Wash,4195
17084,732,Dress,White,Solid white cotton slub resort Oversize dress,Buttons,Hand Wash,4195
17083,741,Pant,Pink,Pink & White check pants,Elastic,Machine Wash,2395
17082,741,Pant,Green,Green & White check pants,Elastic,Machine Wash,2395
17081,741,Pant,Green,Green & white stripe crepe pants.,Elastic,Machine Wash,2395
17080,721,Shirt,Pink,Hot pink crepe half placket shirt.,Fusing,Machine Wash,2695
17079,638,Shirt,Black,Black & white Geometric Print Shirt.,Fusing,Machine Wash,2995
17078,467,Top,Blue,Navy & white floral stripe tie top,Fusing,Machine Wash,2595
17077,517,Top,Blue,Navy floral mandarin collar top.,Fusing,Machine Wash,3595
17076,710,Shirt,Pink,Magenta Polka dot Resort shirt,Buttons,Machine Wash,2795
17075,733,Dress,Red,Red Georgette Ombre sequins party dress,Fusing,Hand Wash,5395
17074,640,Shrug,Maroon,Maroon fleece v-neck poncho with a contrast border.,,Machine Wash,4795
17073,692,Kaftan,Beige,Satin Eclectic print V-Neck stylish kaftan dress,,Machine Wash,3595
17071,689,Coat,Magenta,Front Open Magenta fleece long Coat,Fusing,Dry Clean Only,3995
17070,10142,Shrug,Teal,Teal shimmery geogette party shrug with sequins embelishment,Fusing,Dry Clean Only,4895
17068,741,Trouser,Rust,Rust and white polka dot Trousers,Elastic,Machine Wash,2395
17067,721,Shirt,Rust,Rust and white polka dot half placket shirt,Fusing,Machine Wash,2895
17066,741,Trouser,Sky Blue,Sky blue camouflage print Trouser,Elastic,Machine Wash,2395
17065,721,Shirt,Sky Blue,Sky blue camouflage print half placket shirt,Fusing,Machine Wash,2895
17064,741,Trouser,Blue,Blue Japnese floral print Trousers,Elastic,Machine Wash,2595
17063,721,Shirt,Blue,Blue Japnese floral print half placket shirt,Fusing,Machine Wash,2795
17062,741,Trouser,Wine,Wine and black leopard print trousers,Elastic,Machine Wash,2595
17061,721,Shirt,Wine,Wine and black leopard print half placket shirt,Fusing,Machine Wash,2895
17058,741,Trouser,Pink,Hot pink and white polka dot trousers,Elastic,Machine Wash,2595
17057,721,Shirt,Pink,Hot pink and white polka dot shirt,Fusing,Machine Wash,2795
17056,741,Trouser,Navy,Navy and pink polka dot trousers,Elastic,Machine Wash,2595
17055,721,Shirt,Navy,Navy and pink polka dot shirt,Fusing,Machine Wash,2795
17054,518,Shirt,Pink,Hot pink half placket mandarin collar satin shirt.,Fusing,Hand Wash,3595
17053,10139,Dress,Olive,Olive Gold Shimmer Party Dress,Lace,Dry Clean Only,4595
17052,518,Shirt,Blue,Blue and white tie & die half placket top,Buttons,Machine Wash,3495
17051,10139,Dress,Fuchsia Pink,Fuchsia pink embelished V neck swing dress,Lace,Dry Clean Only,5195
17050,745,Shirt,Green,Green plaid colorblock shirt.,Buttons,Machine Wash,4295
17047,689,Coat,Gray,Solid Charcoal gray fleece long jacket,Fusing,Dry Clean Only,4495
17046,689,Coat,Brown,Solid Coffee brown fleece long jacket,Fusing,Dry Clean Only,3895
17045,689,Coat,Red,Solid Red fleece long jacket,Fusing,Dry Clean Only,4495
17044,689,Coat,Maroon,Maroon fleece coat with rabbit fur collar and sleeves hems,,Dry Clean Only,4795
17043,739,Coat,Ivory,Bagatelle Drape fleece Jacket,,Dry Clean Only,5195
17042,640,Poncho,Beige,Beige suede poncho,Other,Dry Clean Only,10795
17041,0,Poncho,Mint Green,Mint green poncho,,Dry Clean Only,9595
17040,740,Coat,Ivory,Ivory fleece coat with rabbit fur collar and sleeves,,Dry Clean Only,6295
17039,689,Coat,Black,Harringbone balck and gray long jacket with notched collar,Lace,Dry Clean Only,8595
17038,689,Coat,Beige,Beige Suede leather coat with collar and sleeves hems,,Dry Clean Only,8295
17037,689,Coat,Brown,Brown Suede leather coat with collar and sleeves hems,,Dry Clean Only,6395
17036,740,Coat,Black,Black fleece coat with rabbit fur collar and sleeves hems,,Dry Clean Only,4395
17035,689,Coat,Black,Black Rabbit fur long jacket,,Dry Clean Only,13695
17034,739,Coat,Gray,"Bagatelle Drape Fleece Jacket, Complete your contemporary look with an open-front jacket",,Dry Clean Only,3095
17033,739,Coat,Black,"Bagatelle Drape Fleece Jacket, Complete your contemporary look with an open-front jacket",,Dry Clean Only,3095
17032,739,Coat,Yellow,"Bagatelle Drape Fleece Jacket, Complete your contemporary look with an open-front jacket",,Dry Clean Only,3095
17031,740,Coat,Yellow,"Bagatelle Drape Fleece Jacket, Complete your contemporary look with an open-front jacket",,Dry Clean Only,3695
17030,739,Coat,Wine,"Bagatelle Drape Couture soft Jacket, Complete your contemporary look with an open-front jacket",,Dry Clean Only,3995
17029,603,Dress,Black,Black Satin Party Dress,Zips,Hand Wash,3895
17028,744,Dress,Green,Ombre georgette long dress,,Hand Wash,4595
17027,518,Shirt,Multi,Multi colour print crepe half placket shirt,Buttons,Machine Wash,2795
17026,250,Shirt,Maroon,Maroon silk full placket shirt,Buttons,Hand Wash,3795
17025,721,Shirt,Olive,Solid Olive crepe half placket shirt,Buttons,Machine Wash,2595
17024,721,Shirt,Gray,Gray marbal print half placket shirt,Buttons,Machine Wash,2695
17023,721,Shirt,Pink,Navy and Pink polka dott half placket shirt,Buttons,Machine Wash,2795
17022,721,Shirt,Burgundy,Burgundy and white polka dott half placket shirt,Buttons,Machine Wash,2795
17021,720,Shirt,Pink,Pink and white small polka dott and stripe full placket shirt,Buttons,Machine Wash,2995
17020,726,Shirt,Black,Black and white small polka dott color-blocked full placket shirt,Buttons,Machine Wash,2995
17019,518,Shirt,Purple,Purple popcorn swiss dott half placket shirt,Buttons,Machine Wash,2895
17018,721,Shirt,Brown,Brown leopard print half placket shirt,Buttons,Machine Wash,2795
17017,518,Shirt,Black,Black and white check half placket shirt,Buttons,Machine Wash,2795
17016,518,Shirt,Beige,Beige stripe half placket shirt,Buttons,Machine Wash,2895
17015,518,Shirt,Black,Black striped crepe half placket shirt,Buttons,Machine Wash,2795
17014,17014,Shirt,White,White popcorn swiss dott half placket shirt,Buttons,Machine Wash,2895
17013,518,Shirt,Yellow,Silk crepe half placket shirt,Buttons,Hand Wash,3095
17012,512,Top,Black,Black rayon Gather Neck Top,Tassale,Machine Wash,3095
17011,733,Dress,Purple,Ombre Georgette square neck dress,Zips,Machine Wash,3995
17010,518,Shirt,Olive,Rayon floral half placket shirt,Buttons,Machine Wash,3495
17009,518,Shirt,Pista Green,Silk half placket shirt,Buttons,Hand Wash,3895
17008,721,Shirt,White,Greenand White Stripe half placket shirt.,Buttons,Machine Wash,2795
17007,518,Shirt,Blue,Blue and White Stripe shirt,Buttons,Machine Wash,3095
17006,10142,Shrug,Pink,Pink Georgette shrug with Sequin border,,Dry Clean Only,3195
17005,10142,Shrug,Yellow,Yellow silk shrug,,Hand Wash,3695
17004,518,Shirt,Green,Green Tropical half placket shirt,Buttons,Machine Wash,2795
17003,695,Top,White,White V-neck Full cuff sleeve top.,Buttons,Machine Wash,3095
17002,643,Top,Turquoise,Turquoise V-neckTop,Lace,Hand Wash,4095
17001,692,Dress,Gray,Floral crepe print V Neck Kaftan dress,,Machine Wash,2995
17000,512,Top,Pink,Pink Floral Gather Neck Top,,Machine Wash,2595
16099,512,Top,Multi,Green Tropical print top Gather on Neck.,,Machine Wash,2595
16098,10142,Shrug,Black,Black silk shrug,,Dry Clean Only,4295
16097,10139,Dress,Yellow,Yellow and white floral dress,,Machine Wash,3595
16096,562,Top,Navy,Navy blue Top With stylish Mesh Bell Sleeves,,Machine Wash,2595
16095,562,Top,Green,Bottle Green Top With stylish Mesh Bell Sleeves,,Machine Wash,2595
16094,562,Top,Turquoise,Turquoise Top With stylish Mesh Bell Sleeves,,Machine Wash,2595
16093,544,Kaftan,Orange,Orange V neck Kaftan with gold ring,Metal Rings,Machine Wash,2695
16092,10142,Shrug,Olive,Olive georgette with gold shimmer party shrug,Lace,Dry Clean Only,6595
16091,10142,Shrug,Black,Silk fabric party shrug with sequins border,,Dry Clean Only,4895
16090,732,Dress,Navy,Cotton slub front open loop button oversize dress,Buttons,Machine Wash,3295
16089,724,Dress,Black,Black party long dress with gold chain embelishment,Elastic,Hand Wash,4495
16088,641,Skirt,Black,Black lycra straight skirt with side slits,Elastic,Hand Wash,3195
16087,626,Dress,Black,Black Long Party Dress with gold shouder chain straps,Metal Chain,Hand Wash,4695
16086,689,Coat,Beige,Stylish suede long Coat,,Dry Clean Only,12695
16085,518,Shirt,Orange,Orange satin floral print mandrain collar shirt with full cuff sleeves,Buttons,Machine Wash,3795
16084,726,Shirt,Navy,Navy blue lurex button Party shirt,Buttons,Hand Wash,3995
16083,518,Shirt,Green,Rayon dobby half placket shirt with full cuff sleeves,Buttons,Machine Wash,3995
16082,518,Shirt,Magenta,Magenta leopard print half placket shirt with full cuff sleeves,Buttons,Machine Wash,3795
16081,518,Shirt,Pink,Pink and White plaid half placket shirt with full cuff sleeves.,Fusing,Machine Wash,2895
16080,689,Coat,Brown,Stylish suede long Coat,,Dry Clean Only,12595
16079,10142,Shrug,Teal,Teal shimmery geogette party shrug with sequins embelishment,Fusing,Dry Clean Only,4795
16078,10142,Shrug,Red,Red shimmery geogette party shrug with sequins embelishment,Fusing,Dry Clean Only,4795
16077,10142,Shrug,Wine,Wine shimmery geogette party shrug with sequins embelishment,Fusing,Dry Clean Only,4795
16076,622,Dress,Magenta,Magenta party long dress with baloon sleeves,Zips,Hand Wash,4395
16075,622,Dress,Red,Deep Red long party dress embellished with gold chain,Zips,Hand Wash,3695
16074,518,Shirt,Teal,Teal and White plaid half placket shirt with full cuff sleeves.,Buttons,Machine Wash,2895
16073,612,Skirt,Red,Red long pleated party skirt with a glittery elastic waistband,Zips,Hand Wash,4495
16072,758,Dress,Blue,Colorblock A Line party Silk Dress,,Hand Wash,4095
16071,518,Shirt,White,White and Black polka georgette half placket shirt,Buttons,Machine Wash,3095
16070,643,Dress,Green,Cotton slub Shirt dress with cuff sleeves,Buttons,Machine Wash,3395
16069,612,Skirt,Black,Black long pleated party skirt with a glittery elastic waistband,Elastic,Machine Wash,4395
16068,10139,Dress,Red,Red georgette V-Neck party dress with silver lace on neck & mesh bell sleeves,Lace,Hand Wash,4095
16067,733,Dress,Black,Black georgette sequins square neck calf-length party dress,Buttons,Hand Wash,3895
16066,733,Dress,Green,Emerald Green textured square neck calf-length georgette dress,,Hand Wash,4195
16065,518,Shirt,Yellow,Yellow silk half-placket shirt with full cuff sleeves and embellished buttons,Buttons,Hand Wash,3295
16064,738,Jacket Hoodie,Black,Black full slevees hoodie with a gold zipper,Metal zip,Hand Wash,4495
16063,737,Plazzo,Black,Black lycra strechable high waist elasticated palazzo,Elastic,Hand Wash,3995
16062,737,Plazzo,Lavender,Lavender lycra strechable high waist elasticated palazzo,Elastic,Hand Wash,3995
16061,10142,Shrug,Lavender,Lavender lycra fabric shrug with full sleeves and side slits,,Hand Wash,4595
16060,544,Kaftan,Brown,Leopard print V neck Kaftan embellished with gold metal ring,Metal Rings,Machine Wash,2695
16059,562,Top,Maroon,"Qurvii Women Maroon silk party top with v-neck and bell sleeves,",Lace,Hand Wash,3595
16058,562,Top,Green,"Qurvii Women Emerald Green party silk top with v-neck and bell sleeves,",Lace,Hand Wash,3295
16057,10139,Dress,Green,Emerald Green silk A-Line sequins embelished V neck swing dress,,Hand Wash,4295
16056,10139,Dress,Maroon,Maroon silk A-Line sequins embelished V neck swing dress,,Hand Wash,4095
16055,721,Shirt,Magenta,Magenta white Polka crepe Half-Placket shirt,Buttons,Machine Wash,2795
16054,518,Shirt,Red,Red Floral georgette Half-Placket shirt with full cuff sleeves.,Buttons,Machine Wash,2995
16053,518,Shirt,Maroon,Maroon Rayon half Placket Shirt,,Machine Wash,4095
16052,518,Shirt,Red,Red Tropical print Shirt,Fusing,Machine Wash,2795
16051,737,Plazzo,Sea Green,Sea Green strechable palazzo pant,Elastic,Hand Wash,3995
16050,738,Jacket Hoodie,Sea Green,Stylish front-open hoodie with Zipper,Zips,Hand Wash,4495
16049,423,Top,Wine,Flowy Wine floral net crepe tunic top,,Hand Wash,2695
16048,735,Dress,Wine,Wine V neck calf length dress,,Hand Wash,3695
16047,518,Shirt,Pink,Pink Paisely Mandrain collar Shirt,Buttons,Machine Wash,2795
16046,731,Top,Turquoise,Stylish Turquoise polka georgette tie top,Buttons,Machine Wash,2695
16045,725,Skirt,Red,Red rib skirt,Elastic,Hand Wash,3095
16044,724,Dress,Beige,Beige solid rib long dress,Elastic,Machine Wash,3995
16043,723,Shirt,Red,Red silk Party Shirt,Buttons,Dry Clean Only,4095
16042,467,Top,Brown,Coffee brown neck tie top,Fusing,Machine Wash,2595
16041,723,Shirt,Navy,Navy blue Embelished button Party shirt,Buttons,Hand Wash,2895
16040,731,Top,Mint Green,Mint green Floral V-neck tie Top,Buttons,Machine Wash,2695
16039,674,Poncho,Mustard,Stylish Leopard print Kimono Kaftan Top,,Machine Wash,2495
16038,734,Dress,Purple,Purple Fit and Flare A-Line dress,,Hand Wash,3395
16037,722,Dress,Green,Tropical print asymmetrical dress with adjustable strap,Metal Rings,Machine Wash,2695
16036,712,Shirt,Multi,Ombre multi-color Evening shirt,Buttons,Machine Wash,3095
16035,518,Shirt,Wine,Wine & white striped half placket shirt with full cuff sleeves,Buttons,Machine Wash,2695
16034,731,Top,Rust,Rust marble-printed tie top with full cuff sleeves,Buttons,Hand Wash,2695
16033,692,Kaftan,Red,Red and white floral below knee length kaftan dress,Tassel,Machine Wash,2895
16032,518,Shirt,White,White and pink polka georgette mandrain collar shirt,Buttons,Machine Wash,2695
16031,423,Top,Green,Emerald green crepe top with floral net sleeves and yoke,,Machine Wash,2495
16030,544,Kaftan,Mustard,Leopard print V neck Kaftan embellished with gold metal ring,Metal Rings,Hand Wash,2995
16029,692,Kaftan,Beige,Floral border print V Neck Silk Kaftan dress,,Hand Wash,2595
16028,518,Shirt,White,White and yellow polka georgette half placket shirt with full sleeves,Buttons,Hand Wash,2795
16027,689,Coat,Ivory,Ivory fleece long coat with pockets,Fusing,Dry Clean Only,3595
16026,689,Coat,Black,Black and white houndstooth long coat,Fusing,Dry Clean Only,6395
16025,10142,Shrug,Green,Green Tropical print shrug with 3/4 regular sleeves and contrast neon pompom lace,Tassel,Machine Wash,3195
16024,692,Kaftan,Turquoise,Turquoise geometric print kaftan with tassels,Tassel,Machine Wash,2595
16023,467,Top,Black,Black V-Neck top with tie,,Machine Wash,2595
16022,562,Top,Blush Pink,Blush pink Silk V-neck top with bell sleeve,,Machine Wash,2895
16021,10142,Shrug,Multi,Multi-print shrug with 3/4 hi lo bell sleeves,,Machine Wash,2795
16020,699,Top,Lavender,Lilac Swiss dot cold shoulder Ruffle top with bell sleeves,Buttons,Machine Wash,3295
16019,692,Kaftan,Multi,Multi-floral V-neck kaftan with tassels.,Tassel,Machine Wash,2895
16018,10139,Dress,Peach,Georgette A-line V-neck dress with high-low bell sleeves,,Hand Wash,3695
16017,699,Top,Black,Black solid cold shoulder ruffle top with bell sleeves,,Machine Wash,2995
16016,699,Top,White,White floral cold shoulder ruffle op with bell sleeves,,Machine Wash,3295
16015,699,Top,Pink,Pink Swiss dot cold shoulder ruffle top with bell sleeves,Buttons,Machine Wash,3295
16014,735,Dress,Mint Green,Floral print A line midi dress with 3/4 sleeve,,Machine Wash,3495
16013,692,Kaftan,Multi,Brush paint V-neck kaftan with side tassels.,Tassel,Machine Wash,2495
16012,710,Shirt,Multi,Multi-print full placket shirt with drop shoulders,Buttons,Machine Wash,2795
16011,713,Dress,Red,Red jersey cold shoulder summer dress,,Hand Wash,3395
16010,713,Dress,Black,Black jersey cold shoulder summer dress,,Hand Wash,2995
16009,10142,Shrug,Red,Red Tropical Resort Shrug,,Machine Wash,2495
16008,641,Skirt,Black,Black Straight fitted strech long skirt,Elastic,Hand Wash,3595
