Style Number,Style Sketch/Image Link,Line?,Pattern Number,Sleeve Pattern Number,Style Type,Style Primary Color,Fabric Type,Style Name,Style Description,Fabric 1 Name,Fabric 1 Status,Fabric 1 Quantity (in meter),Fabric 1 Rate (Rs per meter),Fabric 2 Name,Fabric 2 Status,Fabric 2 Quantity (in meter),Fabric 2 Rate (Rs per meter),Fabric 3 Name,Fabric 3 Status,Fabric 3 Quantity (in meter),Fabric 3 Rate (Rs per meter),Accessory 1 Type,Accessory 1 Status,Accessory 1 Quantity,Accessory 1 Rate,Accessory 2 Type,Accessory 2 Status,Accessory 2 Quantity,Accessory 2 Rate,Accessory 3 Type,Accessory 3 Status,Accessory 3 Quantity,Accessory 3 Rate,Dyeing Cost,Labor (hours),Prints,Occasion,Neck Style,Main Trend,Fitting Type,Collar Type,Sleeve Type,Style Secondary Color,Primary Color Shade,Sleeve Length,Season,Hemline,Transparency,Lining,Wash Care,Closure,Bust (Inches) - XS,Chest (inches) - XS,Front Length (inches) - XS,Hips (inches),Waist (inches) - XS,Across Shoulder (inches) - XS,Sleeve Length (inches) - XS,Organic/Sustainable?,Dress Type,Shirt Type,Email Address,Fabric 1 Number,Fabric 2 Number,Fabric 3 Number,Accessory 1 Number,Accessory 2 Number,Accessory 3 Number,Dress Length,Fabric Cost,Accessory Cost,Labor Cost,Dyeing Cost,Packing Cost,Total Cost (USD),Discount (%),Discount Rupees,Target SP (INR),1st Discounted Price,1st Discount (Rs),2nd Discounted Price,2nd Discount (Rs),Clearance Price,Clerance Discount (Rs),Outlet Price,Total Cost (INR),MRP,Style Status,MSRP (USD),Discount %,Premium Style?,Exact Inventory,Inactive,Checked,Photo
10957,,Qurvii,10104,,Dress,Yellow,Rayon,Yellow Floral box pleated dress ,Yellow Rayon Regular Fit Dress with Curved Hemline,,Not in store and not available,2.5,65,,,,,,,,,,,,,,,,,,,,,,3,"Pastels, Floral",Casual,Round Neck,"Floral, New Basics",Regular Fit,Not Applicable,Not Applicable,Blue,Light,Sleeveless,Summer,Curved,Opaque,Without,Machine Wash,Not Applicable,,,,,,,,No,,,,,,,,,,,?162.50,?0.00,?150.00,,?45.00,3.97,100.00%,,,"1,799.00","1,096.00","1,099.00","1,796.00",699,"2,196.00",499,?357.50,"2,895.00",,32,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
10956,https://drive.google.com/open?id=1ThRQV3lOxPUKI_yq81wFjrm0k6BUNTNN,Qurvii,10104,,Dress,Pink,Crepe,Pink Paws box pleated dress,Pink Crepe Regular Fit Dress with Straight Hemline, crepe ,Not in store and not available,2.5,35,,,,,,,,,Zips,In store and available,1,10,,,,,,,,,,3,Floral,Casual,Round Neck,Bohemian,Regular Fit,Not Applicable,Not Applicable,White,Light,Sleeveless,"Summer, Spring",Straight,Opaque,Without,Machine Wash,Zip,36,35,42,38,28,14,,No,,,,,,,,,,,?87.50,?10.00,?150.00,,?45.00,3.25,100.00%,,,"1,499.00",796,899,"1,396.00",599,"1,696.00",399,?292.50,"2,295.00",,26,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1ThRQV3lOxPUKI_yq81wFjrm0k6BUNTNN
10955,https://drive.google.com/open?id=1R3U47Tx3pogahQqdXs12zdh_Z-ASXyfM,Qurvii,367,,Top,Maroon,Georgette,Maroon white polka hi lo tunic,Maroon Georgette Regular Fit Top with Curved Hemline,Georgette ,In store and available,2.5,35,,,,,,,,,Buttons,In store and available,3,15,,,,,,,,,,3,Polka,"Evening, Active",V Neck,"Bohemian, Polka Dots",Regular Fit,Collarless,Bell Sleeve,White,Dark,Three Quarter,Spring,Curved,Semi Sheer,Without,Hand Wash,Button,36,35,29,38,282,14,17,No,Shirt,,,,,,,,,,?87.50,?45.00,?150.00,,?45.00,3.64,100.00%,,,"1,599.00",996,999,"1,596.00",699,"1,896.00",499,?327.50,"2,595.00",,30,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1R3U47Tx3pogahQqdXs12zdh_Z-ASXyfM
10953,https://drive.google.com/open?id=1KWQymYC3NvsCeGMcOdJktBOOAs8BMXFG,Qurvii,10104,,Dress,Green,Rayon,Green Floral Box Pleated Dress,Green Rayon Regular Fit Dress with Flared Hemline,Reyon,In store and available,2.5,75,,,,,,,,,,,,,,,,,,,,,,3,Floral,Casual,Round Neck,Floral,Regular Fit,Collarless,Not Applicable,Olive,Dark,Sleeveless,"Summer, Spring",Flared,Opaque,Without,Machine Wash,Not Applicable,36,35,36,38,28,14,,No,Fit & Flare,,,,,,,,,,?187.50,?0.00,?150.00,,?45.00,4.25,100.00%,,,"1,899.00","1,196.00","1,099.00","1,996.00",799,"2,296.00",599,?382.50,"3,095.00",1st Discount,34,98.90%,TRUE,TRUE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1KWQymYC3NvsCeGMcOdJktBOOAs8BMXFG
10940,https://drive.google.com/open?id=1mBJ18AERKJ5B1YLNqoZ7JNmJED2KoBoD,Qurvii,10139,,Dress,Navy,Net,Navy net A line dress,Navy Net Regular Fit Dress with Curved Hemline and With Lining,Net fabric,Dont Know,2.5,60,Lining,In store and available,2,240,,,,,,,,,,,,,,,,,,3,Net,"Evening, Casual",V Neck,"Floral, Sheer",Regular Fit,Not Applicable,Bell Sleeve,Navy,Dark,Three Quarter,Summer,Curved,Sheer,With,Hand Wash,Not Applicable,36,35,36,38,28,14,17,No,A-Line,,,,,,,,,,?630.00,?0.00,?150.00,,?45.00,9.17,100.00%,,,"4,099.00","2,496.00","2,499.00","4,096.00","1,699.00","4,896.00","1,199.00",?825.00,"6,595.00",Other,74,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1mBJ18AERKJ5B1YLNqoZ7JNmJED2KoBoD
10936,https://drive.google.com/open?id=1yoO6lcXmRvZa7SiyKbPy4AW1MvEb9iIX,Qurvii,437,,Shirt,Black,Crepe,Navy & white floral cold shoulder shirt,Black Crepe Regular Fit Shirt with Curved Hemline,Navy & white floral crepe,Not in store and not available,2.5,45,White crepe ,In store and available,0.5,35,,,,,,,,,,,,,,,,,,3,Floral,"Casual, Daily",V Neck,"Bohemian, Floral",Regular Fit,Collarless,Other,White,Dark,Three Quarter,Summer,Curved,Opaque,Without,Machine Wash,Not Applicable,36,35,29,38,28,14,17,No,,,,,,,,,,,?130.00,?0.00,?150.00,,?45.00,3.61,100.00%,,,"1,599.00",996,999,"1,596.00",699,"1,896.00",499,?325.00,"2,595.00",2nd Discount,29,98.88%,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1yoO6lcXmRvZa7SiyKbPy4AW1MvEb9iIX
10932,,Qurvii,10104,,Dress,Black,Crepe,black crepe dress wth box pleats,Black Crepe Regular Fit Dress with Curved Hemline,,Not in store and not available,2.5,30,,,,,,,,,,,,,,,,,,,,,,3,Plaid,Casual,Round Neck,Bohemian,Regular Fit,Not Applicable,Not Applicable,White,Dark,,"Summer, Fall",Curved,Opaque,Without,Machine Wash,Not Applicable,,,,,,,,No,,,,,,,,,,,?75.00,?0.00,?150.00,,?45.00,3,100.00%,,,"1,399.00",796,799,"1,396.00",499,"1,696.00",399,?270.00,"2,195.00",,24,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
10928,https://drive.google.com/open?id=16hxkTwhgkPCARb708ce9-7p4xnTgF0go,Qurvii,376,,Tunic,White,Viscose,Cotton half placket tunic,White Viscose Regular Fit Tunic with Curved Hemline,Viscose,Not in store and not available,2.5,60,,,,,,,,,Buttons,In store and available,2,10,,,,,,,,,,3,Check,"Casual, Active",Sweat heart Neck,Abstract,Regular Fit,Mandarin Collar,Cuff Sleeve,Gray,Light,Three Quarter,Fall,Curved,Opaque,Without,Hand Wash,Button,36,35,29,38,28,14,17,No,Other,,,,,,,,,,?150.00,?20.00,?150.00,,?45.00,4.06,100.00%,,,"1,799.00","1,096.00","1,099.00","1,796.00",699,"2,196.00",499,?365.00,"2,895.00",,33,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=16hxkTwhgkPCARb708ce9-7p4xnTgF0go
10926,https://drive.google.com/open?id=1ijEwP7evvWsGUbsw1BCmTvyaUxh8IJbl,Qurvii,10142,,Shrug,Black,Crepe,Black Floral Duster,Black Crepe Regular Fit Shrug with Straight Hemline,Crepe,In store and available,2.5,35,,,,,,,,,Lace,In store and available,1.5,40,,,,,,,,,,3,Floral,"Casual, Beach, Festival, Smart Casual",Not Applicable,"Bohemian, Floral",Regular Fit,Not Applicable,Not Applicable,White,Dark,Three Quarter,"Summer, Spring, Fall",Straight,Opaque,Without,Machine Wash,Not Applicable,36,35,42,38,28,14,17,No,,,,,,,,,,,?87.50,?60.00,?150.00,,?45.00,3.81,100.00%,,,"1,699.00",996,999,"1,696.00",699,"1,996.00",499,?342.50,"2,695.00",1st Discount,31,98.85%,TRUE,TRUE,TRUE,FALSE,https://drive.google.com/uc?export=view&id=1ijEwP7evvWsGUbsw1BCmTvyaUxh8IJbl
10923,https://drive.google.com/open?id=1Ft_5ozl2TJKO0raIqJ3cKFA_4nDsxZyo,Qurvii,366,,Top,Black,Crepe,Cold Shoulder Crepe Top,Black Crepe Regular Fit Top with Asymmetric Hemline,Crepe,In store and available,2.5,35,,,,,,,,,,,,,,,,,,,,,,3,Polka,"Casual, Smart Casual",V Neck,"Abstract, Geometric, Polka Dots",Regular Fit,Not Applicable,Not Applicable,White,Dark,Sleeveless,"Spring, Fall",Asymmetric,Opaque,Without,Machine Wash,Not Applicable,36,35,28.5,38,28,14,,No,,,,,,,,,,,?87.50,?0.00,?150.00,,?45.00,3.14,100.00%,,,"1,399.00",896,799,"1,496.00",599,"1,696.00",399,?282.50,"2,295.00",Other,26,98.87%,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1Ft_5ozl2TJKO0raIqJ3cKFA_4nDsxZyo
10898,,Qurvii,429,,Top,Blue,Crepe,Women's Striped Shirt,Blue Crepe Regular Fit Top with Curved Hemline,,Not in store and not available,2.5,65,,,,,,,,,,,,,,,,,,,,,,3,Stripe,Casual,Not Applicable,Bohemian,Regular Fit,Spread Collar,Bell Sleeve,White,Light,,"Summer, Fall",Curved,Opaque,Without,Machine Wash,Not Applicable,,,,,,,,No,,,,,,,,,,,?162.50,?0.00,?150.00,,?45.00,3.97,100.00%,,,"1,799.00","1,096.00","1,099.00","1,796.00",699,"2,196.00",499,?357.50,"2,895.00",,32,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
10892,https://drive.google.com/open?id=1oqT8B1JXIQ1x5FbBYfxTD2ni-0MYls02,Qurvii,423,,Top,Pink,Georgette,Women's Side Ruffle  top,Pink Georgette Regular Fit Top with Curved Hemline and With Lining,Georgette ,In store and available,2.5,35,lining,In store and available,2,64,,,,,,,,,,,,,,,,,,3,Solid,"Casual, Daily, Beach",Round Neck,"Bohemian, Sheer",Regular Fit,Not Applicable,Bell Sleeve,Pink,Light,Short,"Spring, Fall",Curved,Semi Sheer,With,Hand Wash,Not Applicable,36,35,29,38,28,14,8,No,Other,,,,,,,,,,?215.50,?0.00,?150.00,,?45.00,4.56,100.00%,,,"2,099.00","1,196.00","1,199.00","2,096.00",799,"2,496.00",599,?410.50,"3,295.00",,37,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1oqT8B1JXIQ1x5FbBYfxTD2ni-0MYls02
10880,https://drive.google.com/open?id=1B0csU_yR2H_waVVbfKvg-9mP2mYpmnGd,Qurvii,10142,,Shrug,Black,Georgette,Lurex Duster with Sequins border,Black Georgette Regular Fit Shrug with Straight Hemline,Black lurex georgette,Not in store and not available,2,50,Black sequence,In store and available,0.5,150,,,,,,,,,,,,,,,,,,3,Embroidered ,Casual,V Neck,"Sheer, Bling & Sparkly",Regular Fit,Not Applicable,Not Applicable,Black,Dark,Three Quarter,Summer,Straight,Semi Sheer,Without,Hand Wash,Not Applicable,36,35,36,38,28,14,17,No,,,,,3025,,,,,,?175.00,?0.00,?150.00,,?45.00,4.11,100.00%,,,"1,899.00","1,096.00","1,099.00","1,896.00",699,"2,296.00",599,?370.00,"2,995.00",,33,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1B0csU_yR2H_waVVbfKvg-9mP2mYpmnGd
10876,https://drive.google.com/open?id=1YzN7y1_dAoFx6t8v-9p_2a2PQoCuzOmr,Qurvii,10142,,Shrug,Pink,Georgette,Sleevless Butterfly Duster,Pink Georgette Regular Fit Shrug with Flared Hemline,Georgette ,In store and available,2.5,35,,,,,,,,,Lace,In store and available,2,10,,,,,,,,,,3,Floral,"Casual, Beach",Not Applicable,"Bohemian, Floral",Regular Fit,Not Applicable,Not Applicable,White,Light,Sleeveless,"Summer, Spring",Flared,Semi Sheer,Without,Hand Wash,Not Applicable,36,35,42,38,28,14,,No,Other,,,,,,,,,,?87.50,?20.00,?150.00,,?45.00,3.36,100.00%,,,"1,499.00",896,899,"1,496.00",599,"1,796.00",499,?302.50,"2,395.00",,27,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1YzN7y1_dAoFx6t8v-9p_2a2PQoCuzOmr
10871,https://drive.google.com/open?id=1gpUTm2DE6idFW7Vk0-cPSibhNLl9il_u,Qurvii,10104,,Dress,Black,Satin,Black Satin Dress,Black Satin Slim Fit Dress with Straight Hemline,Satin,In store and available,2.5,40,Net with pearl,In store and available,0.25,200,,,,,Zips,In store and available,1,5,,,,,,,,,,3,Solid,Evening,Round Neck,Bling & Sparkly,Slim Fit,Not Applicable,Not Applicable,White,Dark,,Fall,Straight,Opaque,Without,Hand Wash,Concealed Zip,36,35,42,38,28,14,,No,Fit & Flare,,,,,,,,,,?150.00,?5.00,?150.00,,?45.00,3.89,100.00%,,,"1,799.00",996,"1,099.00","1,696.00",699,"2,096.00",499,?350.00,"2,795.00",1st Discount,32,98.86%,FALSE,TRUE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1gpUTm2DE6idFW7Vk0-cPSibhNLl9il_u
10868,https://drive.google.com/open?id=1GlVQphQw01DGzLR2RK17F00NXo-qzTSR,Qurvii,420,,Tunic,Green,Georgette,Women's Side Tail Tunic,Green Georgette Relaxed Fit Tunic with Asymmetric Hemline and With Lining,Georgette,In store and available,2.5,35,Lining,In store and available,2,64,,,,,,,,,,,,,,,,,,3,Solid,"Evening, Daily, Smart Casual",V Neck,"New Basics, Sheer",Relaxed Fit,Not Applicable,CapSleeve,Green,Dark,Short,"Summer, Fall",Asymmetric,Semi Sheer,With,Machine Wash,Not Applicable,36,35,28.5,38,28,14,9,No,,,,,,,,,,,?215.50,?0.00,?150.00,,?45.00,4.56,100.00%,,,"2,099.00","1,196.00","1,199.00","2,096.00",799,"2,496.00",599,?410.50,"3,295.00",1st Discount,37,98.88%,FALSE,TRUE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1GlVQphQw01DGzLR2RK17F00NXo-qzTSR
10866,https://drive.google.com/open?id=1vvJUC8yIo0tA2HN09BK2NHqUn91jcyVC,Qurvii,421,,Top,Navy,Georgette,Women's Side Ruffle Top,Navy Georgette Regular Fit Top with Curved Hemline,Crepe,In store and available,2.5,35,lining,In store and available,2,64,,,,,,,,,,,,,,,,,,3,Solid,"Evening, Casual",Round Neck,Abstract,Regular Fit,Round Collar,Ruffle Sleeve,Navy,Dark,Half,"Summer, Spring",Curved,Opaque,Without,Machine Wash,Not Applicable,36,35,28.5,38,28,14,12,No,,,,,,,,,,,?215.50,?0.00,?150.00,,?45.00,4.56,100.00%,,,"2,099.00","1,196.00","1,199.00","2,096.00",799,"2,496.00",599,?410.50,"3,295.00",1st Discount,37,98.88%,TRUE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1vvJUC8yIo0tA2HN09BK2NHqUn91jcyVC
10864,,Qurvii,10142,,Shrug,Olive,Georgette,Women's Sheer Velvet Stripe Duster,Olive Georgette Regular Fit Shrug with Curved Hemline,,Not in store and not available,2.8,70,,,,,,,,,,,,,,,,,,,,,,3,COLORBLOCK,Casual,V Neck,"Bohemian, Color Blocked",Regular Fit,Not Applicable,Not Applicable,Olive,Dark,,"Summer, Fall",Curved,Sheer,Without,Machine Wash,Not Applicable,,,,,,,,No,,,,,,,,,,,?196.00,?0.00,?150.00,,?45.00,4.34,100.00%,,,"1,999.00","1,096.00","1,199.00","1,896.00",799,"2,296.00",599,?391.00,"3,095.00",,35,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
10862,https://drive.google.com/open?id=1EChexbjgbLL_KOGaYJwTJfu_CLQuO1Eb,Qurvii,518,,Top,Black,Satin,Satin Embellished Top,Black Satin Loose Fit Top with Flared Hemline,Satin,In store and available,2.5,45,black sequence,In store and available,0.1,150,,,,,Buttons,In store and available,2,5,Other,In store and available,3,5,,,,,,3,Solid,"Evening, Semi Formal, Smart Casual",V Neck,Bling & Sparkly,Loose Fit,Not Applicable,Puff Sleeve,Black,Dark,Full,Fall,Flared,Opaque,Without,Machine Wash,Hook & Eye,36,35,29,38,28,14,22,No,,,,,,,,,,,?127.50,?25.00,?150.00,,?45.00,3.86,100.00%,,,"1,699.00","1,096.00",999,"1,796.00",699,"2,096.00",499,?347.50,"2,795.00",Other,31,98.89%,TRUE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1EChexbjgbLL_KOGaYJwTJfu_CLQuO1Eb
10840,https://drive.google.com/open?id=18ywbecg70Z0X57GtSmllEerSWBIErpRE,Qurvii,354,,Top,Black,Jersey,Black Jersey Poncho,Black Jersey Loose Fit Top with Asymmetric Hemline,Jersey,In store and available,2,170,,,,,,,,,,,,,,,,,,,,,,3,Solid,"Evening, Casual, Daily",Round Neck,Bohemian,Loose Fit,Not Applicable,Not Applicable,Black,Dark,,"Winter, Fall",Asymmetric,Opaque,Without,Hand Wash,Not Applicable,36,35,29.5,38,28,14,,No,,,,,,,,,,,?340.00,?0.00,?150.00,,?45.00,5.94,100.00%,,,"2,699.00","1,596.00","1,599.00","2,696.00","1,099.00","3,196.00",799,?535.00,"4,295.00",Other,48,98.88%,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=18ywbecg70Z0X57GtSmllEerSWBIErpRE
10835,https://drive.google.com/open?id=1A81jNXIxbo9yMY7zsy7H4vl4J7H3jvsm,Qurvii,10142,,Shrug,Multi,Crepe,Multi print duster,Multi Crepe Regular Fit Shrug with Straight Hemline,Crepe ,Not in store and not available,2.5,35,,,,,,,,,,,,,,,,,,,,,,3,Geometric,"Casual, Beach",Not Applicable,Bohemian,Regular Fit,Collarless,Not Applicable,Multi,Bright,Three Quarter,"Summer, Spring",Straight,Opaque,Without,Machine Wash,Not Applicable,36,35,42,38,28,14,17,No,,,,,,,,,,,?87.50,?0.00,?150.00,,?45.00,3.14,100.00%,,,"1,399.00",896,799,"1,496.00",599,"1,696.00",399,?282.50,"2,295.00",,26,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1A81jNXIxbo9yMY7zsy7H4vl4J7H3jvsm
10834,https://drive.google.com/open?id=1cPqrw0pdKJzmPdS7Gx8cV03TiiRLThyR,Qurvii,10142,,Shrug,Black,Crepe,Black floral duster,Black Crepe Regular Fit Shrug with Straight Hemline,Crepe ,Not in store and not available,2.5,65,,,,,,,,,,,,,,,,,,,,,,3,Floral,"Party, Festival",Not Applicable,Floral,Regular Fit,Not Applicable,Not Applicable,White,Dark,Three Quarter,"Summer, Spring, Fall",Straight,Semi Sheer,Without,Machine Wash,Not Applicable,36,35,42,38,28,14,17,No,,,,,,,,,,,?162.50,?0.00,?150.00,,?45.00,3.97,100.00%,,,"1,799.00","1,096.00","1,099.00","1,796.00",699,"2,196.00",499,?357.50,"2,895.00",,32,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1cPqrw0pdKJzmPdS7Gx8cV03TiiRLThyR
10833,,Qurvii,M1,,Top,Black,Crepe,Mosscrepe v neck tunic,Black Crepe Regular Fit Top with Curved Hemline,,Not in store and not available,1.8,30,,,,,,,,,,,,,,,,,,,,,,3,Floral,Casual,V Neck,"Bohemian, Color Blocked",Regular Fit,Not Applicable,Bell Sleeve,Rust,Dark,Three Quarter,"Summer, Fall",Curved,Opaque,Without,Machine Wash,Not Applicable,,,,,,,,No,,,,,,,,,,,?54.00,?0.00,?150.00,,?45.00,2.77,100.00%,,,"1,199.00",796,699,"1,296.00",499,"1,496.00",399,?249.00,"1,995.00",,23,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
10833,https://drive.google.com/open?id=1DjGMAvbvKxfosiE1T7mVhviNFFlf-Dkb,Qurvii,mi,,Top,Black,Moss Crepe,Mosscrepe v neck tunic,Black Moss Crepe Regular Fit Top with Curved Hemline,Moss crepe ,Not in store and not available,1.8,30,Crpe ,Not in store and not available,0.5,30,,,,,,,,,,,,,,,,,,3,Animal,"Casual, Active",V Neck,"Bohemian, Animal or Skin Print",Regular Fit,Collarless,Cuff Sleeve,Black,Dark,Three Quarter,"Spring, Fall",Curved,Opaque,Without,Hand Wash,Not Applicable,36,35,29,38,28,14,17,No,,,,,,,,,,,?69.00,?0.00,?150.00,,?45.00,2.93,100.00%,,,"1,299.00",796,799,"1,296.00",499,"1,596.00",399,?264.00,"2,095.00",,24,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1DjGMAvbvKxfosiE1T7mVhviNFFlf-Dkb
10829,https://drive.google.com/open?id=1j-FWvPc0sSK4fv1C_BhvzbbzWt693gE7,Qurvii,10146,,Tunic,Black,Crepe,Plaid crepe hi lo tunic,Black Crepe Regular Fit Tunic with Asymmetric Hemline,Crepe ,In store and available,2.5,35,,,,,,,,,Buttons,In store and available,8,20,,,,,,,,,,3,Check,"Evening, Formal",Banded Collar,Geometric,Regular Fit,Not Applicable,Cuff Sleeve,Black,Dark,Three Quarter,"Spring, Fall",Asymmetric,Opaque,Without,Hand Wash,Button,36,35,36,38,28,14,17,No,Shirt,,,,,,,,,,?87.50,?160.00,?150.00,,?45.00,4.92,100.00%,,,"2,199.00","1,296.00","1,299.00","2,196.00",899,"2,596.00",699,?442.50,"3,495.00",,40,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1j-FWvPc0sSK4fv1C_BhvzbbzWt693gE7
10827,https://drive.google.com/open?id=12AdagKfyDrUk6rajaFeqynNCOLWz1XDJ,Qurvii,10142,,Shrug,White,Crepe,Plaid georgette duster,White Crepe Regular Fit Shrug with Straight Hemline,Crepe ,Not in store and not available,2.5,35,,,,,,,,,,,,,,,,,,,,,,3,Check,Casual,Not Applicable,"Bohemian, Geometric",Regular Fit,Collarless,Not Applicable,White,Light,Three Quarter,"Summer, Spring",Straight,Opaque,Without,Machine Wash,Not Applicable,36,35,42,38,28,14,17,No,,,,,,,,,,,?87.50,?0.00,?150.00,,?45.00,3.14,100.00%,,,"1,399.00",896,799,"1,496.00",599,"1,696.00",399,?282.50,"2,295.00",,26,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=12AdagKfyDrUk6rajaFeqynNCOLWz1XDJ
10826,,Qurvii,10146,,Tunic,Black,Moss Crepe,Floral crepe hi lo tunic,Black Moss Crepe Regular Fit Tunic with Hi-Low Hemline,,Not in store and not available,2.5,45,,,,,,,,,,,,,,,,,,,,,,3,Floral,Casual,V Neck,"Bohemian, Floral",Regular Fit,Not Applicable,Not Applicable,Multi,Dark,,,Hi-Low,Opaque,Without,Machine Wash,Not Applicable,,,,,,,,No,,,,,,,,,,,?112.50,?0.00,?150.00,,?45.00,3.42,100.00%,,,"1,499.00",996,899,"1,596.00",599,"1,896.00",499,?307.50,"2,495.00",,28,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
10826,https://drive.google.com/open?id=1aYSbN9J-Vk79LoOKsqF-BibWRkm0dqDJ,Qurvii,10146,,Tunic,Black,Moss Crepe,Floral crepe hi lo tunic,Black Moss Crepe Regular Fit Tunic with Flounce Hemline,Moss Crepe ,Not in store and not available,2.5,35,,,,,,,,,,,,,,,,,,,,,,3,Floral,"Casual, Beach",Not Applicable,Bohemian,Regular Fit,Collarless,Not Applicable,Black,Dark,Three Quarter,"Summer, Spring",Flounce,Semi Sheer,Without,Machine Wash,Not Applicable,36,35,40,38,28,14,17,No,,,,,,,,,,,?87.50,?0.00,?150.00,,?45.00,3.14,100.00%,,,"1,399.00",896,799,"1,496.00",599,"1,696.00",399,?282.50,"2,295.00",,26,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1aYSbN9J-Vk79LoOKsqF-BibWRkm0dqDJ
10821,,Qurvii,108,,Dress,Black,Moss Crepe,Floral asymetrical dress,Black Moss Crepe Regular Fit Dress with Asymmetric Hemline,,Not in store and not available,2.5,45,,,,,,,,,,,,,,,,,,,,,,3,Floral,Casual,Sweat heart Neck,"Bohemian, Floral",Regular Fit,Not Applicable,Not Applicable,Multi,Dark,,,Asymmetric,Opaque,Without,Machine Wash,Not Applicable,,,,,,,,No,,,,,,,,,,,?112.50,?0.00,?150.00,,?45.00,3.42,100.00%,,,"1,499.00",996,899,"1,596.00",599,"1,896.00",499,?307.50,"2,495.00",,28,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=
10816,https://drive.google.com/open?id=1bUX2m2rKWfJlZgoCaX3x5NbS2irvh2-B,Qurvii,201,,Top,Black,Crepe,Solid crepe shirt,Black Crepe Regular Fit Top with Curved Hemline,Black crepe,In store and available,2.5,35,Snake print crepe,In store and available,0.2,45,,,,,,,,,,,,,,,,,,3,"Solid, Animal","Casual, Daily",V Neck,Animal or Skin Print,Regular Fit,Mandarin Collar,Not Applicable,Brown,Dark,Three Quarter,"Summer, Fall",Curved,Opaque,Without,Machine Wash,Not Applicable,36,35,29,38,28,14,17,No,,,,3001,1035,,,,,,?96.50,?0.00,?150.00,,?45.00,3.24,100.00%,,,"1,499.00",796,899,"1,396.00",599,"1,696.00",399,?291.50,"2,295.00",,26,,FALSE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1bUX2m2rKWfJlZgoCaX3x5NbS2irvh2-B
10811,https://drive.google.com/open?id=1ndlLXY9IlT6G9jvHMvZFLP4C1K52jmpb,Qurvii,412,,Tunic,Black,Crepe,Black Solid Tunic,Black Crepe Regular Fit Tunic with Curved Hemline,Crepe,In store and available,2.5,35,sequin,In store and available,0.25,150,,,,,,,,,,,,,,,,,,3,Solid,Party,Round Neck,Geometric,Regular Fit,Round Collar,Not Applicable,Black,Dark,Three Quarter,"Spring, Fall",Curved,Opaque,Without,Hand Wash,Not Applicable,36,35,32,38,28,14,17,No,A-Line,,,,,,,,,,?125.00,?0.00,?150.00,,?45.00,3.56,100.00%,,,"1,599.00",996,999,"1,596.00",599,"1,996.00",499,?320.00,"2,595.00",1st Discount,29,98.88%,TRUE,FALSE,FALSE,FALSE,https://drive.google.com/uc?export=view&id=1ndlLXY9IlT6G9jvHMvZFLP4C1K52jmpb
